Date,Description,Withdrawals,Deposits,Balance
05-01-2025,UPI QR Payment Groceries,270.87,0.0,10202.39
15-01-2025,NEFT Transfer From PQR Pvt,3782.46,0.0,6419.93
23-01-2025,Credit Card Payment ICICI,426.36,0.0,6846.29
27-01-2025,Service Charge GST Debit,4332.26,0.0,2514.03
30-01-2025,UPI QR Payment Groceries,4960.86,0.0,9008.54
02-02-2025,IMPS UPI Payment Amazon,2693.97,0.0,11702.51
14-02-2025,Online Card Purchase Flipkart,737.74,0.0,12440.25
21-02-2025,Dining Out Card Swipe,3973.65,0.0,8466.6
24-02-2025,IMPS UPI Payment Amazon,1998.34,0.0,10464.94
24-02-2025,Salary Credit XYZ Pvt Ltd,0.0,1611.68,12076.62
01-03-2025,Credit Card Payment ICICI,4509.03,0.0,7567.59
02-03-2025,Dining Out Card Swipe,2922.99,0.0,10490.58
10-03-2025,Interest Credit Saving Account,0.0,187.17,10677.75
12-03-2025,IMPS UPI Payment Amazon,741.32,0.0,9936.43
13-03-2025,Insurance Premium Auto Debit,2881.87,0.0,12818.3
18-03-2025,Interest Credit Saving Account,0.0,884.31,11933.99
21-03-2025,ATM Cash Withdrawal India,189.74,0.0,11744.25
31-03-2025,Insurance Premium Auto Debit,3183.71,0.0,8560.54
01-04-2025,Dining Out Card Swipe,1786.81,0.0,6773.73
10-04-2025,Fuel Purchase Debit Card,3455.33,0.0,10229.06
10-04-2025,Salary Credit XYZ Pvt Ltd,0.0,3130.96,7098.1
12-04-2025,Insurance Premium Auto Debit,827.09,0.0,6271.01
16-04-2025,Dining Out Card Swipe,4890.35,0.0,11161.36
19-04-2025,Online Card Purchase Flipkart,2634.0,0.0,8527.36
22-04-2025,Credit Card Payment ICICI,4168.32,0.0,12695.68
25-04-2025,Salary Credit XYZ Pvt Ltd,0.0,4183.97,16879.65
27-04-2025,IMPS UPI Transfer Paytm,4087.04,0.0,12792.61
28-04-2025,IMPS UPI Transfer Paytm,363.47,0.0,12429.14
05-05-2025,NEFT Transfer From PQR Pvt,22.16,0.0,12451.3
17-05-2025,Salary Credit XYZ Pvt Ltd,0.0,1863.31,10587.99
21-05-2025,Fuel Purchase Debit Card,4526.6,0.0,6061.39
31-05-2025,Dining Out Card Swipe,2583.14,0.0,3478.25
08-06-2025,Electricity Bill NEFT Online,3949.78,0.0,3843.74
18-06-2025,Interest Credit Saving Account,0.0,4805.82,2101.26
21-06-2025,Electricity Bill NEFT Online,395.05,0.0,2496.31
26-06-2025,Online Card Purchase Flipkart,1263.09,0.0,3759.4
05-07-2025,IMPS UPI Payment Amazon,4883.29,0.0,3547.23
06-07-2025,Interest Credit Saving Account,0.0,1248.14,2299.09
16-07-2025,ATM Cash Withdrawal India,4630.04,0.0,2518.6
19-07-2025,NEFT Transfer From PQR Pvt,1581.69,0.0,936.91
20-07-2025,Utility Bill Payment Electricity,2989.23,0.0,3926.14
23-07-2025,Salary Credit XYZ Pvt Ltd,0.0,2988.46,6914.6
24-07-2025,Electricity Bill NEFT Online,2917.52,0.0,3997.08
25-07-2025,Salary Credit XYZ Pvt Ltd,0.0,566.32,3430.76
