Date,Description,Debit Amount,Credit Amount,Balance
18-06-2025,Interest Credit Saving Account 480,5.82,2,101.26
21-06-2025,Electricity Bill NEFT Online,395.05,2,496.31
26-06-2025,Online Card Purchase Flipkart 1263.09,375,9,4
27-06-2025,ATM Cash Withdrawal India 494,4.55,1,185.15
30-06-2025,Interest Credit Saving Account,150.91,1,336.06
05-07-2025,IMPS UPI Payment Amazon 488,3.29,3,547.23
06-07-2025,Interest Credit Saving Account 124,8.14,2,299.09
08-07-2025,Online Card Purchase Flipkart 402,9.62,1,730.53
14-07-2025,Mobile Recharge Via UPI,380.91,2,111.44
16-07-2025,ATM Cash Withdrawal India 4630.04,251,8,6
19-07-2025,NEFT Transfer From PQR Pvt,158,1.69,936.91
20-07-2025,Utility Bill Payment Electricity 298,9.23,3,926.14
23-07-2025,Salary Credit XYZ Pvt Ltd 2988.46,691,4,6
24-07-2025,Electricity Bill NEFT Online 291,7.52,3,997.08
25-07-2025,Salary Credit XYZ Pvt Ltd,566.32,3,430.76
